modelo,threshold,accuracy,precision,recall,f1_score,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive,alertas_gerados
logistic_balanced,0.5,0.9778916938777898,0.06496751624187906,0.8783783783783784,0.1209865053513262,0.9711271532978549,0.7047152166711069,83424,1871,18,130,2001
logistic_baseline,0.5,0.9991573329588147,0.8584905660377359,0.6148648648648649,0.7165354330708661,0.9583585109231395,0.7122583473233133,85280,15,57,91,106
logistic_undersampling,0.5,0.9804665098369674,0.07251264755480608,0.8716216216216216,0.13388687078360145,0.9726416902863353,0.4129878173111468,83645,1650,19,129,1779
random_forest_balanced,0.5,0.9993562960102056,0.8297872340425532,0.7905405405405406,0.8096885813148789,0.9426078886788777,0.8123828742529522,85271,24,31,117,141
xgboost_balanced,0.5,0.9862130309094952,0.09953343701399689,0.8648648648648649,0.17852161785216178,0.9660236413211383,0.6620117738184885,84137,1158,20,128,1286
